tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37063000200,"Census Tract 2, Durham County, North Carolina",37063,Durham,Durham County,293,0.1,-1.4042783465261006
37117970500,"Census Tract 9705, Martin County, North Carolina",37117,Martin,Martin County,1031,0.19,0.19557855864247572
37119000700,"Census Tract 7, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,97,0.1,-1.4042783465261006
37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,211,0.12,-1.0487545898219728
37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1029,0.19,0.19557855864247572
37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,858,0.22,0.7288641936986678
37119002100,"Census Tract 21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,433,0.17,-0.1599451980616522
37119002600,"Census Tract 26, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,99,0.11,-1.2265164681740368
37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,664,0.12,-1.0487545898219728
37019020201,"Census Tract 202.01, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,626,0.16,-0.3377070764137164
37019020309,"Census Tract 203.09, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,321,0.11,-1.2265164681740368
37019020504,"Census Tract 205.04, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,25,0.01,-3.004135251694677
37019020510,"Census Tract 205.10, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,189,0.1,-1.4042783465261006
37021000600,"Census Tract 6, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,125,0.07,-1.9375639815822927
37021002000,"Census Tract 20, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,1033,0.17,-0.1599451980616522
37021002606,"Census Tract 26.06, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,802,0.2,0.37334043699453995
37023020201,"Census Tract 202.01, Burke County, North Carolina",37023,Burke,Burke County,956,0.15,-0.5154689547657806
37097061408,"Census Tract 614.08, Iredell County, North Carolina",37097,Iredell,Iredell County,1222,0.3,2.15095922051518
37099950700,"Census Tract 9507, Jackson County, North Carolina",37099,Jackson,Jackson County,447,0.17,-0.1599451980616522
37101041502,"Census Tract 415.02, Johnston County, North Carolina",37101,Johnston,Johnston County,1459,0.19,0.19557855864247572
37103920100,"Census Tract 9201, Jones County, North Carolina",37103,Jones,Jones County,508,0.14,-0.6932308331178443
37105030101,"Census Tract 301.01, Lee County, North Carolina",37105,Lee,Lee County,1066,0.21,0.5511023153466037
37109070600,"Census Tract 706, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,734,0.18,0.017816680290411512
37111970100,"Census Tract 9701, McDowell County, North Carolina",37111,McDowell,McDowell County,1031,0.2,0.37334043699453995
37111970400,"Census Tract 9704, McDowell County, North Carolina",37111,McDowell,McDowell County,720,0.23,0.9066260720507321
37113970200,"Census Tract 9702, Macon County, North Carolina",37113,Macon,Macon County,618,0.17,-0.1599451980616522
