tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37067003805,"Census Tract 38.05, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,3166,0.53,0.6248987752901122
37067004011,"Census Tract 40.11, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,5021,0.89,-0.8484564752969286
37035010303,"Census Tract 103.03, Catawba County, North Carolina",37035,Catawba,Catawba County,3725,0.83,-0.6028972668657548
37151031504,"Census Tract 315.04, Randolph County, North Carolina",37151,Randolph,Randolph County,4345,0.86,-0.7256768710813417
37197050300,"Census Tract 503, Yadkin County, North Carolina",37197,Yadkin,Yadkin County,5301,0.88,-0.8075299405583997
37129011605,"Census Tract 116.05, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,4176,0.75,-0.27548498895752377
37071030102,"Census Tract 301.02, Gaston County, North Carolina",37071,Gaston,Gaston County,2832,0.69,-0.029925780526350098
37071030602,"Census Tract 306.02, Gaston County, North Carolina",37071,Gaston,Gaston County,2150,0.91,-0.9303095447739864
37071031004,"Census Tract 310.04, Gaston County, North Carolina",37071,Gaston,Gaston County,2099,0.8,-0.4801176626501685
37071032702,"Census Tract 327.02, Gaston County, North Carolina",37071,Gaston,Gaston County,1651,0.74,-0.23455845421899482
37073970100,"Census Tract 9701, Gates County, North Carolina",37073,Gates,Gates County,2671,0.65,0.13378035842776523
37075920300,"Census Tract 9203, Graham County, North Carolina",37075,Graham,Graham County,2832,0.78,-0.39826459317311064
37081014412,"Census Tract 144.12, Guilford County, North Carolina",37081,Guilford,Guilford County,1867,0.66,0.09285382368923628
37081015707,"Census Tract 157.07, Guilford County, North Carolina",37081,Guilford,Guilford County,4893,0.77,-0.35733805843458166
37155961000,"Census Tract 9610, Robeson County, North Carolina",37155,Robeson,Robeson County,1001,0.49,0.788604914244228
37157040400,"Census Tract 404, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,4526,0.73,-0.19363191948046587
37157041200,"Census Tract 412, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,2006,0.4,1.156943726890988
37159050300,"Census Tract 503, Rowan County, North Carolina",37159,Rowan,Rowan County,1979,0.58,0.42026610159746786
37025041902,"Census Tract 419.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,2121,0.49,0.788604914244228
37025042101,"Census Tract 421.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,796,0.25,1.7708417479689218
37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,2943,0.72,-0.15270538474193693
37027031403,"Census Tract 314.03, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,2033,0.81,-0.5210441973886974
37031970304,"Census Tract 9703.04, Carteret County, North Carolina",37031,Carteret,Carteret County,1786,0.85,-0.6847503363428128
37031970504,"Census Tract 9705.04, Carteret County, North Carolina",37031,Carteret,Carteret County,1587,0.88,-0.8075299405583997
37031970902,"Census Tract 9709.02, Carteret County, North Carolina",37031,Carteret,Carteret County,1305,0.96,-1.1349422184666307
37031990100,"Census Tract 9901, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,2.794005116432144
37119005710,"Census Tract 57.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,2106,0.45,0.9523110531983434
37133000103,"Census Tract 1.03, Onslow County, North Carolina",37133,Onslow,Onslow County,4651,0.85,-0.6847503363428128
37133000402,"Census Tract 4.02, Onslow County, North Carolina",37133,Onslow,Onslow County,6656,0.89,-0.8484564752969286
37133001700,"Census Tract 17, Onslow County, North Carolina",37133,Onslow,Onslow County,1311,0.58,0.42026610159746786
37133002202,"Census Tract 22.02, Onslow County, North Carolina",37133,Onslow,Onslow County,2346,0.54,0.5839722405515831
37163970900,"Census Tract 9709, Sampson County, North Carolina",37163,Sampson,Sampson County,2547,0.67,0.05192728895070734
